episode,training_reward,validation_reward,average_loss,epsilon,training_grid_import,validation_grid_import,training_unmet_demand,validation_unmet_demand,validation_battery_discharge,training_battery_throughput,validation_battery_throughput,training_degradation_cost,validation_degradation_cost,validation_final_soc
1,204.428254,23.460961,0.151279,0.738704,1067.453037,201.789279,49.997656,13.853433,212.191717,897.494079,419.383434,8.974941,4.193834,0.0
2,370.866826,51.337603,0.222868,0.543968,924.613615,218.346527,44.651122,4.992234,204.090613,1210.845988,406.594015,12.10846,4.06594,0.341279
3,491.075754,56.597855,0.254406,0.400568,854.581778,220.093142,34.279363,3.590931,203.727127,1379.01641,406.558967,13.790164,4.06559,0.410471
4,554.410893,39.86974,0.25615,0.29497,813.157521,233.625084,29.702758,4.290849,188.746222,1476.23087,376.217228,14.762309,3.762172,0.372478
5,607.909551,37.072449,0.255487,0.217211,772.489708,244.798966,26.953624,2.654628,178.706578,1567.713026,356.668391,15.67713,3.566684,0.425523
6,624.892086,48.421203,0.276933,0.15995,775.281423,237.274872,22.994603,1.853634,187.469829,1569.798867,374.699465,15.697989,3.746995,0.475981
7,654.336716,28.093057,0.290476,0.117784,757.460268,257.953472,20.584161,1.868686,165.687037,1612.672172,332.128288,16.126722,3.321283,0.575421
8,675.911944,51.594423,0.281399,0.086734,758.44613,233.463461,16.057596,1.965471,191.364117,1619.845816,382.600295,16.198458,3.826003,0.487206
9,654.345581,24.723573,0.262511,0.063869,788.189035,261.395609,14.540727,1.868686,162.063735,1560.626099,324.862962,15.606261,3.24863,0.573549
10,678.433008,18.359714,0.252985,0.05,775.501755,249.6584,12.19872,5.466097,170.631943,1591.614586,336.263885,15.916146,3.362639,0.0
11,662.774177,32.028495,0.247821,0.05,788.569517,254.689831,12.773784,1.720179,169.278772,1563.189596,339.201807,15.631896,3.392018,0.564426
12,688.791637,20.914752,0.252926,0.05,763.034721,256.143395,12.568005,3.665601,165.700892,1617.812599,332.50876,16.178126,3.325088,0.610698
13,681.514121,11.638569,0.266336,0.05,759.259903,275.71955,14.772421,1.679295,147.185261,1620.83824,295.664573,16.208382,2.956646,0.629405
14,705.661349,5.278853,0.273704,0.05,751.767648,261.981321,11.395662,5.656012,157.460537,1643.720375,317.100421,16.437204,3.171004,0.717935
15,694.930879,10.913474,0.271646,0.05,758.506526,253.716362,12.226032,6.149938,165.640572,1627.694637,333.171411,16.276946,3.331714,0.689027
16,675.164624,-2.084661,0.25987,0.05,756.143366,258.099683,16.659892,7.898899,159.185538,1623.706217,320.172071,16.237062,3.201721,0.6801
17,680.716922,6.818405,0.26975,0.05,724.168939,255.395142,21.832928,6.644151,163.353211,1679.40113,327.693942,16.794011,3.276939,0.598752
18,699.030738,-7.854588,0.259592,0.05,733.657984,263.797942,16.288065,7.93944,153.144697,1671.546186,307.068743,16.715462,3.070687,0.577935
19,703.620181,4.392808,0.270904,0.05,717.643235,261.601359,18.515073,5.911215,157.591862,1700.573009,316.09963,17.00573,3.160996,0.591591
20,731.102825,4.425471,0.272897,0.05,716.070102,256.914105,13.305353,6.826582,161.56227,1714.481797,323.875296,17.144818,3.238753,0.575076
21,712.803477,4.820433,0.240958,0.05,726.826671,257.968726,14.866023,6.539714,160.75411,1688.424873,322.351361,16.884249,3.223514,0.584314
22,685.484897,11.109676,0.245096,0.05,718.579938,257.919295,21.973673,5.286219,162.12561,1691.131095,325.117258,16.911311,3.251173,0.586604
23,684.26637,2.623529,0.235748,0.05,714.695853,263.655296,22.98189,5.863358,155.480199,1697.283765,311.562647,16.972838,3.115626,0.560225
24,693.755763,15.989887,0.241973,0.05,738.486337,254.94096,16.398183,4.8925,165.67514,1661.14974,331.789288,16.611497,3.317893,0.543901
25,681.661805,0.10693,0.254445,0.05,753.061377,266.221115,15.961427,5.86355,152.779134,1631.419132,306.544221,16.314191,3.065442,0.598595
26,676.775838,8.886924,0.251372,0.05,749.289337,257.710861,17.684496,5.773234,161.832367,1635.685436,324.728725,16.356854,3.247287,0.606399
27,683.962404,28.561552,0.25151,0.05,733.526238,250.18515,19.340534,3.302035,172.35543,1665.319937,345.436287,16.653199,3.454363,0.572543
28,715.349769,18.64347,0.237562,0.05,718.550424,258.894537,15.981612,3.580996,162.894011,1703.625837,326.825185,17.036258,3.268252,0.603716
29,694.011276,4.792079,0.226773,0.05,733.75342,269.444223,17.274636,4.287457,151.045436,1670.663278,303.765349,16.706633,3.037653,0.667448
30,683.923865,4.753119,0.235674,0.05,722.497644,258.784649,21.516713,6.392186,160.050535,1683.943481,321.2544,16.839435,3.212544,0.615333
