episode,training_reward,validation_reward,average_loss,epsilon,training_grid_import,validation_grid_import,training_unmet_demand,validation_unmet_demand,validation_battery_discharge,validation_final_soc
1,238.688371,46.66856,0.149311,0.738704,1049.973428,214.548095,47.500238,7.087149,205.883789,0.206911
2,426.948773,58.367905,0.211152,0.543968,913.70889,223.600357,36.791648,2.94717,200.712965,0.327994
3,516.621217,55.917564,0.240765,0.400568,841.96356,230.193111,33.0473,2.130848,194.63251,0.314103
4,602.318081,44.876141,0.262297,0.29497,790.725796,246.516467,26.032844,1.10667,178.528112,0.585336
5,643.05161,46.613911,0.278816,0.217211,756.582385,237.467916,24.640007,2.552821,186.530638,0.554777
6,652.22357,9.132199,0.290088,0.15995,747.829254,277.625904,24.537598,2.101158,144.734506,0.741409
7,676.005397,38.537118,0.295972,0.117784,747.621239,246.42409,19.81245,2.395469,177.26872,0.636607
8,691.556157,19.366804,0.299873,0.086734,743.181909,263.655949,17.57611,2.820332,158.682698,0.665345
9,710.149813,39.774866,0.271626,0.063869,716.569126,247.158169,19.127174,2.00182,176.910372,0.625026
10,696.678326,12.615043,0.289704,0.05,747.746922,268.410798,15.644217,3.230588,153.245745,0.73004
